#clust	radkpc	total	thn_bnk	thk_bnk	thn_blu	thk_blu	green	red
N533	20	8.31e11	6.85e11	6e11	NA	NA	NA	NA
N533	22	9.8e11	7.8e11	6.6e11	1.9e11	8e10	NA	NA
N533	25	1.11e12	8.82e11	7.68e11	2.8e11	1.7e11	NA	NA
N533	30	1.4e12	1.07e12	9.05e11	4.8e11	3.05e11	NA	NA
N533	40	2.0e12	1.38e12	1.15e12	8.0e11	6e11	NA	NA
N533	50	2.7e12	1.76e12	1.4e12	1.05e12	8e11	NA	NA
N533	60	3.27e12	2e12	1.6e12	1.2e12	9.8e11	NA	NA
N533	70	3.94e12	2.25e12	1.8e12	1.35e12	1.05e12	1.08e11	NA
N533	80	4.52e12	2.5e12	2.01e12	1.48e12	1.09e12	1.85e11	NA
N533	90	5.05e12	2.74e12	2.11e12	1.51e12	1.1e12	2.65e11	NA
N533	100	5.98e12	2.9e12	2.22e12	1.51e12	1.1e12	3.4e11	1.02e11
N533	150	9e12	3.1e12	2.57e12	1.51e12	1.1e12	4.8e11	2.4e11
N533	200	1.15e13	3.1e12	2.6e12	1.51e12	1.1e12	4.8e11	4.5e11
N533	250	1.3e13	3.1e12	2.6e12	1.51e12	1.1e12	4.8e11	6.5e11
N533	400	NA	NA	NA	NA	NA	NA	NA
#clust	radkpc	total	thn_bnk	thk_bnk	thn_blu	thk_blu	green	red
N5044	10	NA	NA	NA	NA	NA	NA	NA
N5044	20	5.9e11	4.15e11	3.5e11	1.18e11	NA	NA	NA
N5044	22	7.1e11	5.0e11	4.01e11	2.25e11	1.35e11	NA	NA
N5044	25	8.95e11	6e11	5.01e11	3.67e11	2.42e11	NA	NA
N5044	30	1.15e12	8.05e11	6.8e11	5.15e11	3.79e11	NA	NA
N5044	40	1.71e12	1.15e12	0.95e12	8.8e11	6.8e11	NA	NA
N5044	50	2.27e12	1.49e12	1.2e12	1.24e12	9e11	NA	NA
N5044	60	3.0e12	1.95e12	1.51e12	1.54e12	1.1e12	NA	NA
N5044	70	3.7e12	2.25e12	1.78e12	1.82e12	1.31e12	8.5e10	NA
N5044	80	4.4e12	2.55e12	2.08e12	2.05e12	1.49e12	1.27e11	1.1e11
N5044	90	5.15e12	2.8e12	2.29e12	2.12e12	1.60e12	2e11	1.33e11
N5044	100	6.0e12	3.05e12	2.5e12	2.2e12	1.70e12	3e11	1.61e11
N5044	150	0.95e13	4.0e12	3.22e12	2.24e12	1.80e12	7.9e11	3.65e11
