Cluster,z,NH_1e20_cm2,R500_kpc,R500_err,M500_tot_1e14,M500_tot_err_hi,M500_tot_err_lo,M500_bar_1e14,M500_bar_err_hi,M500_bar_err_lo,complete
A85,0.0555,2.8,1214,4,5.03,0.05,0.05,0.606,0.003,0.003,0
A644,0.0704,7.5,1398,16,7.80,0.26,0.27,1.02,0.05,0.04,1
A1644,0.0473,4.1,1031,11,3.06,0.09,0.09,0.379,0.005,0.005,0
A1795,0.0622,1.2,1160,6,4.42,0.07,0.07,0.582,0.009,0.010,1
A2029,0.0766,3.2,1340,9,6.91,0.14,0.14,0.975,0.017,0.014,1
A2142,0.09,3.8,1453,9,8.93,0.17,0.16,1.260,0.010,0.010,1
A2255,0.0809,2.5,1202,17,5.01,0.22,0.20,0.68,0.05,0.05,0
A2319,0.0557,3.2,1424,5,8.12,0.08,0.08,1.380,0.010,0.010,1
A3158,0.059,1.4,1146,12,4.25,0.14,0.13,0.556,0.010,0.009,0
A3266,0.0589,1.6,1381,10,7.43,0.16,0.15,1.070,0.010,0.010,0
RXC1825,0.065,9.4,1109,9,3.88,0.09,0.08,0.487,0.006,0.005,0
Zw1215,0.0766,1.7,1346,21,7.00,0.35,0.32,0.757,0.014,0.019,0
